iteration,Z,Z_total,loss,layer_name,prompt,timestep_index,image_id,identity_id,seed,learning_rate,finite_gradient_flag,nan_or_inf_flag,input_psnr,input_ssim,input_mse,input_l2,combined_mean_disp_px,combined_max_disp_px,combined_p95_disp_px,jacobian_det_min,foldover_fraction,smoothness_tv,tps_mean_disp,tps_max_disp,tps_p95_disp,delaunay_mean_disp,delaunay_max_disp,delaunay_p95_disp,rolling_mean_disp,rolling_max_disp,rolling_p95_disp,dct_mean_disp,dct_max_disp,dct_p95_disp,fft_phase_norm,fft_phase_max,fft_phase_mean_abs,legacy_fft_strength_equivalent,fft_spatial_delta_mse,tps_grad_norm,delaunay_grad_norm,rolling_grad_norm,dct_grad_norm,fft_grad_norm,total_grad_norm,num_total_params,num_clamped_total,fraction_clamped_total,num_at_min_total,num_at_max_total,components_at_boundary,seconds_iter,seconds_elapsed,peak_vram_gb
0,0.0007369518280029297,0.0007369518280029297,-0.0007369518280029297,vae_image_latent,add headphones,6,barack_obama_01,barack_obama,1234,0.03,True,False,26.070517277590582,0.9768469333648682,0.0024714297614991665,0.04971347749233246,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.0006711531314067543,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.053582433611154556,0.07389089651405811,5.859372615814209
1,0.0007369518280029297,0.0007369518280029297,-0.0007369518280029297,vae_image_latent,add headphones,6,barack_obama_01,barack_obama,1234,0.03,True,False,26.070517277590582,0.9768469333648682,0.0024714297614991665,0.04971347749233246,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.0006711531314067543,1.5038382116472349e-05,1.1564250598894432e-05,5.0325525080552325e-06,3.9026024751365185e-05,1.5938354408717714e-05,4.6500249058402454e-05,326,0,0.0,0,0,,0.08830854296684265,0.16283428482711315,5.859372615814209
2,0.0004718899726867676,0.0004718899726867676,-0.0004718899726867676,vae_image_latent,add headphones,6,barack_obama_01,barack_obama,1234,0.03,True,False,25.90766443993776,0.9762409925460815,0.0025658635422587395,0.05065435543656349,0.715427041053772,1.7904294729232788,1.59371018409729,0.8774256110191345,0.0,0.013821100816130638,0.1678529679775238,0.49084797501564026,0.3525410294532776,0.20631656050682068,0.5660392642021179,0.37447619438171387,0.2067336142063141,0.3528740406036377,0.35155585408210754,0.5348918437957764,1.4438289403915405,1.0583759546279907,100.41345977783203,0.5184172987937927,0.09038474410772324,28770.357421875,0.0008171295048668981,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08747760392725468,0.2509323302656412,5.859372615814209
3,0.0003877878189086914,0.0003877878189086914,-0.0003877878189086914,vae_image_latent,add headphones,6,barack_obama_01,barack_obama,1234,0.03,True,False,25.641039214797164,0.974959135055542,0.0027283248491585255,0.052233368158340454,0.7040150165557861,1.7724082469940186,1.557742953300476,0.8791513442993164,0.0,0.01381414569914341,0.16778463125228882,0.498637318611145,0.358840674161911,0.2073521465063095,0.5932123064994812,0.3833664059638977,0.18670177459716797,0.32330822944641113,0.32198408246040344,0.5282862186431885,1.4442671537399292,1.0630840063095093,101.11009216308594,0.5101963877677917,0.09066139161586761,28858.416015625,0.0009486635099165142,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08684419840574265,0.33825126849114895,5.859372615814209
4,0.0003660917282104492,0.0003660917282104492,-0.0003660917282104492,vae_image_latent,add headphones,6,barack_obama_01,barack_obama,1234,0.03,True,False,25.37264965331942,0.9735392332077026,0.002902251435443759,0.053872548043727875,0.7025879621505737,1.7731822729110718,1.550559163093567,0.8804359436035156,0.0,0.013866616412997246,0.16890673339366913,0.5042551755905151,0.36373305320739746,0.20878389477729797,0.6140409708023071,0.391817182302475,0.17180460691452026,0.3005858063697815,0.2994234263896942,0.5280811786651611,1.4444575309753418,1.0730518102645874,102.33567810058594,0.5045876502990723,0.09151124209165573,29128.931640625,0.00106803048402071,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08736392296850681,0.4260208532214165,5.859372615814209
5,0.0003745555877685547,0.0003745555877685547,-0.0003745555877685547,vae_image_latent,add headphones,6,barack_obama_01,barack_obama,1234,0.03,True,False,25.13506010491338,0.9721910357475281,0.0030654482543468475,0.05536649003624916,0.7067298889160156,1.7740333080291748,1.5624785423278809,0.8814573287963867,0.0,0.013944871723651886,0.17063535749912262,0.5086196064949036,0.3679860532283783,0.21035242080688477,0.6309835314750671,0.39980509877204895,0.16002507507801056,0.2820744514465332,0.2809704840183258,0.5313757658004761,1.448630690574646,1.0847744941711426,103.73823547363281,0.500407338142395,0.09259041398763657,29472.443359375,0.0011768551776185632,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08813891001045704,0.5146946180611849,5.859372615814209
6,0.0004093050956726074,0.0004093050956726074,-0.0004093050956726074,vae_image_latent,add headphones,6,barack_obama_01,barack_obama,1234,0.03,True,False,24.925613483925616,0.9709255695343018,0.0032169080805033445,0.05671779438853264,0.7141478657722473,1.7777336835861206,1.5730355978012085,0.882305383682251,0.0,0.014035755768418312,0.17268256843090057,0.5122049450874329,0.3717753291130066,0.21194742619991302,0.6452171206474304,0.4070225656032562,0.1503826379776001,0.26650920510292053,0.2653932273387909,0.5366021394729614,1.496984601020813,1.1009010076522827,105.17530822753906,0.49713411927223206,0.0937609001994133,29845.01953125,0.0012762018013745546,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.0873384177684784,0.6025122702121735,5.859372615814209
7,0.0004467964172363281,0.0004467964172363281,-0.0004467964172363281,vae_image_latent,add headphones,6,barack_obama_01,barack_obama,1234,0.03,True,False,24.73728022270363,0.9697239398956299,0.0033594793640077114,0.05796101689338684,0.7231295108795166,1.8080893754959106,1.5799431800842285,0.8830259442329407,0.0,0.014132237061858177,0.17487744987010956,0.5207717418670654,0.37651002407073975,0.2135137915611267,0.6574180722236633,0.4134945273399353,0.14231890439987183,0.2531551718711853,0.25205692648887634,0.5428774952888489,1.5425152778625488,1.1186023950576782,106.58103942871094,0.4944891631603241,0.09494669735431671,30222.47265625,0.0013674888759851456,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08767027780413628,0.6907171700149775,5.859372615814209
8,0.0004811882972717285,0.0004811882972717285,-0.0004811882972717285,vae_image_latent,add headphones,6,barack_obama_01,barack_obama,1234,0.03,True,False,24.567046435487946,0.9685866236686707,0.0034937784075737,0.0591081939637661,0.7325774431228638,1.8399893045425415,1.5947431325912476,0.8836482763290405,0.0,0.014230849221348763,0.17710891366004944,0.5315937399864197,0.38452717661857605,0.21502232551574707,0.6680206656455994,0.41930171847343445,0.13548123836517334,0.24154378473758698,0.24048633873462677,0.5496630668640137,1.5850367546081543,1.139599084854126,107.9237060546875,0.49230483174324036,0.09610264003276825,30590.41796875,0.0014515193179249763,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08702038414776325,0.7781949620693922,5.859372615814209
9,0.0005096197128295898,0.0005096197128295898,-0.0005096197128295898,vae_image_latent,add headphones,6,barack_obama_01,barack_obama,1234,0.03,True,False,24.41168307887967,0.9675043821334839,0.0036210264079272747,0.06017496436834335,0.7420141696929932,1.8720180988311768,1.612274408340454,0.8841930627822876,0.0,0.014329512603580952,0.179306298494339,0.5411664843559265,0.391959547996521,0.2164575159549713,0.6773250102996826,0.42463213205337524,0.12961304187774658,0.23134949803352356,0.23035141825675964,0.5565836429595947,1.6243975162506104,1.161051630973816,109.18852233886719,0.4904719889163971,0.09720631688833237,30941.73046875,0.0015289110597223043,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.0873231589794159,0.8659855369478464,5.859372615814209
