left_image_id,right_image_id,left_identity_id,right_identity_id,left_image_path,right_image_path,pair_type
barack_obama_01,barack_obama_02,barack_obama,barack_obama,identity_layers/datasets/wikimedia_identity_probe/images/barack_obama/barack_obama_01.jpg,identity_layers/datasets/wikimedia_identity_probe/images/barack_obama/barack_obama_02.jpg,same_identity
barack_obama_01,barack_obama_03,barack_obama,barack_obama,identity_layers/datasets/wikimedia_identity_probe/images/barack_obama/barack_obama_01.jpg,identity_layers/datasets/wikimedia_identity_probe/images/barack_obama/barack_obama_03.jpg,same_identity
barack_obama_02,barack_obama_03,barack_obama,barack_obama,identity_layers/datasets/wikimedia_identity_probe/images/barack_obama/barack_obama_02.jpg,identity_layers/datasets/wikimedia_identity_probe/images/barack_obama/barack_obama_03.jpg,same_identity
michelle_obama_01,michelle_obama_02,michelle_obama,michelle_obama,identity_layers/datasets/wikimedia_identity_probe/images/michelle_obama/michelle_obama_01.jpg,identity_layers/datasets/wikimedia_identity_probe/images/michelle_obama/michelle_obama_02.jpg,same_identity
michelle_obama_01,michelle_obama_03,michelle_obama,michelle_obama,identity_layers/datasets/wikimedia_identity_probe/images/michelle_obama/michelle_obama_01.jpg,identity_layers/datasets/wikimedia_identity_probe/images/michelle_obama/michelle_obama_03.jpg,same_identity
michelle_obama_02,michelle_obama_03,michelle_obama,michelle_obama,identity_layers/datasets/wikimedia_identity_probe/images/michelle_obama/michelle_obama_02.jpg,identity_layers/datasets/wikimedia_identity_probe/images/michelle_obama/michelle_obama_03.jpg,same_identity
joe_biden_01,joe_biden_02,joe_biden,joe_biden,identity_layers/datasets/wikimedia_identity_probe/images/joe_biden/joe_biden_01.jpg,identity_layers/datasets/wikimedia_identity_probe/images/joe_biden/joe_biden_02.jpg,same_identity
joe_biden_01,joe_biden_03,joe_biden,joe_biden,identity_layers/datasets/wikimedia_identity_probe/images/joe_biden/joe_biden_01.jpg,identity_layers/datasets/wikimedia_identity_probe/images/joe_biden/joe_biden_03.jpg,same_identity
joe_biden_02,joe_biden_03,joe_biden,joe_biden,identity_layers/datasets/wikimedia_identity_probe/images/joe_biden/joe_biden_02.jpg,identity_layers/datasets/wikimedia_identity_probe/images/joe_biden/joe_biden_03.jpg,same_identity
kamala_harris_01,kamala_harris_02,kamala_harris,kamala_harris,identity_layers/datasets/wikimedia_identity_probe/images/kamala_harris/kamala_harris_01.jpg,identity_layers/datasets/wikimedia_identity_probe/images/kamala_harris/kamala_harris_02.jpg,same_identity
kamala_harris_01,kamala_harris_03,kamala_harris,kamala_harris,identity_layers/datasets/wikimedia_identity_probe/images/kamala_harris/kamala_harris_01.jpg,identity_layers/datasets/wikimedia_identity_probe/images/kamala_harris/kamala_harris_03.jpg,same_identity
kamala_harris_02,kamala_harris_03,kamala_harris,kamala_harris,identity_layers/datasets/wikimedia_identity_probe/images/kamala_harris/kamala_harris_02.jpg,identity_layers/datasets/wikimedia_identity_probe/images/kamala_harris/kamala_harris_03.jpg,same_identity
hillary_clinton_01,hillary_clinton_02,hillary_clinton,hillary_clinton,identity_layers/datasets/wikimedia_identity_probe/images/hillary_clinton/hillary_clinton_01.jpg,identity_layers/datasets/wikimedia_identity_probe/images/hillary_clinton/hillary_clinton_02.jpg,same_identity
hillary_clinton_01,hillary_clinton_03,hillary_clinton,hillary_clinton,identity_layers/datasets/wikimedia_identity_probe/images/hillary_clinton/hillary_clinton_01.jpg,identity_layers/datasets/wikimedia_identity_probe/images/hillary_clinton/hillary_clinton_03.jpg,same_identity
hillary_clinton_02,hillary_clinton_03,hillary_clinton,hillary_clinton,identity_layers/datasets/wikimedia_identity_probe/images/hillary_clinton/hillary_clinton_02.jpg,identity_layers/datasets/wikimedia_identity_probe/images/hillary_clinton/hillary_clinton_03.jpg,same_identity
donald_trump_01,donald_trump_02,donald_trump,donald_trump,identity_layers/datasets/wikimedia_identity_probe/images/donald_trump/donald_trump_01.jpg,identity_layers/datasets/wikimedia_identity_probe/images/donald_trump/donald_trump_02.jpg,same_identity
donald_trump_01,donald_trump_03,donald_trump,donald_trump,identity_layers/datasets/wikimedia_identity_probe/images/donald_trump/donald_trump_01.jpg,identity_layers/datasets/wikimedia_identity_probe/images/donald_trump/donald_trump_03.jpg,same_identity
donald_trump_02,donald_trump_03,donald_trump,donald_trump,identity_layers/datasets/wikimedia_identity_probe/images/donald_trump/donald_trump_02.jpg,identity_layers/datasets/wikimedia_identity_probe/images/donald_trump/donald_trump_03.jpg,same_identity
angela_merkel_01,angela_merkel_02,angela_merkel,angela_merkel,identity_layers/datasets/wikimedia_identity_probe/images/angela_merkel/angela_merkel_01.jpg,identity_layers/datasets/wikimedia_identity_probe/images/angela_merkel/angela_merkel_02.jpg,same_identity
angela_merkel_01,angela_merkel_03,angela_merkel,angela_merkel,identity_layers/datasets/wikimedia_identity_probe/images/angela_merkel/angela_merkel_01.jpg,identity_layers/datasets/wikimedia_identity_probe/images/angela_merkel/angela_merkel_03.jpg,same_identity
angela_merkel_02,angela_merkel_03,angela_merkel,angela_merkel,identity_layers/datasets/wikimedia_identity_probe/images/angela_merkel/angela_merkel_02.jpg,identity_layers/datasets/wikimedia_identity_probe/images/angela_merkel/angela_merkel_03.jpg,same_identity
emmanuel_macron_01,emmanuel_macron_02,emmanuel_macron,emmanuel_macron,identity_layers/datasets/wikimedia_identity_probe/images/emmanuel_macron/emmanuel_macron_01.jpg,identity_layers/datasets/wikimedia_identity_probe/images/emmanuel_macron/emmanuel_macron_02.jpg,same_identity
emmanuel_macron_01,emmanuel_macron_03,emmanuel_macron,emmanuel_macron,identity_layers/datasets/wikimedia_identity_probe/images/emmanuel_macron/emmanuel_macron_01.jpg,identity_layers/datasets/wikimedia_identity_probe/images/emmanuel_macron/emmanuel_macron_03.jpg,same_identity
emmanuel_macron_02,emmanuel_macron_03,emmanuel_macron,emmanuel_macron,identity_layers/datasets/wikimedia_identity_probe/images/emmanuel_macron/emmanuel_macron_02.jpg,identity_layers/datasets/wikimedia_identity_probe/images/emmanuel_macron/emmanuel_macron_03.jpg,same_identity
justin_trudeau_01,justin_trudeau_02,justin_trudeau,justin_trudeau,identity_layers/datasets/wikimedia_identity_probe/images/justin_trudeau/justin_trudeau_01.jpg,identity_layers/datasets/wikimedia_identity_probe/images/justin_trudeau/justin_trudeau_02.jpg,same_identity
